FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,,Denmark,2020-04-03 22:46:20,56.2639,9.5018,3757,139,1193,2425,Denmark
,,,Diamond Princess,2020-04-03 22:46:20,,,712,11,619,82,Diamond Princess
,,,Djibouti,2020-04-03 22:46:20,11.8251,42.5903,49,0,8,41,Djibouti
,,,Dominica,2020-04-03 22:46:20,15.415,-61.371,12,0,0,12,Dominica
,,,Dominican Republic,2020-04-03 22:46:20,18.7357,-70.1627,1488,68,16,1404,Dominican Republic
,,,Ecuador,2020-04-03 22:46:20,-1.8312,-78.1834,3368,145,65,3158,Ecuador
,,,Egypt,2020-04-03 22:46:20,26.820553,30.802498,985,66,216,703,Egypt
,,,El Salvador,2020-04-03 22:46:20,13.7942,-88.8965,46,2,0,44,El Salvador
,,,Equatorial Guinea,2020-04-03 22:46:20,1.6508,10.2679,16,0,1,15,Equatorial Guinea
,,,Eritrea,2020-04-03 22:46:20,15.1794,39.7823,22,0,0,22,Eritrea
,,,Estonia,2020-04-03 22:46:20,58.5953,25.0136,961,12,48,901,Estonia
,,,Eswatini,2020-04-03 22:46:20,-26.5225,31.4659,9,0,0,9,Eswatini
,,,Ethiopia,2020-04-03 22:46:20,9.145,40.4897,35,0,3,32,Ethiopia
,,,Fiji,2020-04-03 22:46:20,-17.7134,178.065,7,0,0,7,Fiji
,,,Finland,2020-04-03 22:46:20,61.92411,25.748151,1615,20,300,1295,Finland
,,,France,2020-04-03 22:46:20,46.2276,2.2137,64338,6507,14008,43823,France
,,,Gabon,2020-04-03 22:46:20,-0.8037,11.6094,21,1,1,19,Gabon
,,,Gambia,2020-04-03 22:46:20,13.4432,-15.3101,4,1,2,1,Gambia
,,,Georgia,2020-04-03 22:46:20,42.3154,43.3569,155,0,28,127,Georgia
,,,Germany,2020-04-03 22:46:20,51.165691,10.451526,91159,1275,24575,65309,Germany
,,,Ghana,2020-04-03 22:46:20,7.9465,-1.0232,205,5,31,169,Ghana
,,,Greece,2020-04-03 22:46:20,39.0742,21.8243,1613,63,78,1472,Greece
,,,Grenada,2020-04-03 22:46:20,12.1165,-61.679,12,0,0,12,Grenada
,,,Guatemala,2020-04-03 22:46:20,15.7835,-90.2308,50,1,12,37,Guatemala
,,,Guinea,2020-04-03 22:46:20,9.9456,-9.6966,73,0,2,71,Guinea
,,,Guinea-Bissau,2020-04-03 22:46:20,11.8037,-15.1804,15,0,0,15,Guinea-Bissau
,,,Guyana,2020-04-03 22:46:20,4.860416,-58.93018,23,4,0,19,Guyana
,,,Haiti,2020-04-03 22:46:20,18.9712,-72.2852,18,0,1,17,Haiti
,,,Holy See,2020-04-03 22:46:20,41.9029,12.4534,7,0,0,7,Holy See
,,,Honduras,2020-04-03 22:46:20,15.2,-86.2419,222,15,3,204,Honduras
,,,Hungary,2020-04-03 22:46:20,47.1625,19.5033,623,26,43,554,Hungary
,,,Iceland,2020-04-03 22:46:20,64.9631,-19.0208,1364,4,309,1051,Iceland
,,,India,2020-04-03 22:46:20,20.593684,78.96288,2567,72,192,2303,India
,,,Indonesia,2020-04-03 22:46:20,-0.7893,113.9213,1986,181,134,1671,Indonesia
,,,Iran,2020-04-03 22:46:20,32.427908,53.688046,53183,3294,17935,31954,Iran
,,,Iraq,2020-04-03 22:46:20,33.223191,43.679291,820,54,226,540,Iraq
,,,Ireland,2020-04-03 22:46:20,53.1424,-7.6921,4273,120,5,4148,Ireland
,,,Israel,2020-04-03 22:46:20,31.046051,34.851612,7428,40,403,6985,Israel
,,,Italy,2020-04-03 22:46:20,41.87194,12.56738,119827,14681,19758,85388,Italy
,,,Jamaica,2020-04-03 22:46:20,18.1096,-77.2975,47,3,2,42,Jamaica
,,,Japan,2020-04-03 22:46:20,36.204824,138.252924,2617,63,514,2040,Japan
,,,Jordan,2020-04-03 22:46:20,31.24,36.51,310,5,58,247,Jordan
,,,Kazakhstan,2020-04-03 22:46:20,48.0196,66.9237,464,6,29,429,Kazakhstan
,,,Kenya,2020-04-03 22:46:20,-0.0236,37.9062,122,4,4,114,Kenya
,,,"Korea, South",2020-04-03 22:46:20,35.907757,127.766922,10062,174,6021,3867,"Korea, South"
,,,Kosovo,2020-04-03 22:46:20,42.602636,20.902977,126,1,10,115,Kosovo
,,,Kuwait,2020-04-03 22:46:20,29.31166,47.481766,417,0,82,335,Kuwait
,,,Kyrgyzstan,2020-04-03 22:46:20,41.20438,74.766098,130,1,6,123,Kyrgyzstan
,,,Laos,2020-04-03 22:46:20,19.85627,102.495496,10,0,0,10,Laos
,,,Latvia,2020-04-03 22:46:20,56.8796,24.6032,493,1,1,491,Latvia
,,,Lebanon,2020-04-03 22:46:20,33.8547,35.8623,508,17,50,441,Lebanon
,,,Liberia,2020-04-03 22:46:20,6.428055,-9.429499,7,0,0,7,Liberia
,,,Libya,2020-04-03 22:46:20,26.3351,17.228331,11,1,0,10,Libya
,,,Liechtenstein,2020-04-03 22:46:20,47.14,9.55,75,0,0,75,Liechtenstein
,,,Lithuania,2020-04-03 22:46:20,55.1694,23.8813,696,9,7,680,Lithuania
,,,Luxembourg,2020-04-03 22:46:20,49.8153,6.1296,2612,31,500,2081,Luxembourg
,,,MS Zaandam,2020-04-03 22:46:20,,,9,2,0,7,",,MS Zaandam"
,,,Madagascar,2020-04-03 22:46:20,-18.766947,46.869107,70,0,0,70,Madagascar
,,,Malawi,2020-04-03 22:46:20,-13.254308,34.301525,3,0,0,3,Malawi
,,,Malaysia,2020-04-03 22:46:20,4.210484,101.975766,3333,53,827,2453,Malaysia
,,,Maldives,2020-04-03 22:46:20,3.2028,73.2207,19,0,13,6,Maldives
,,,Mali,2020-04-03 22:46:20,17.570692,-3.996166,39,3,0,36,Mali
,,,Malta,2020-04-03 22:46:20,35.9375,14.3754,202,0,2,200,Malta
,,,Mauritania,2020-04-03 22:46:20,21.0079,-10.9408,6,1,2,3,",,Mauritania"
,,,Mauritius,2020-04-03 22:46:20,-20.348404,57.552152,186,7,0,179,Mauritius
,,,Mexico,2020-04-03 22:46:20,23.6345,-102.5528,1510,50,633,827,Mexico
,,,Moldova,2020-04-03 22:46:20,47.4116,28.3699,591,8,26,557,Moldova
,,,Monaco,2020-04-03 22:46:20,43.7333,7.4167,64,1,3,60,Monaco
,,,Mongolia,2020-04-03 22:46:20,46.8625,103.8467,14,0,2,12,Mongolia
,,,Montenegro,2020-04-03 22:46:20,42.708678,19.37439,174,2,1,171,Montenegro
,,,Morocco,2020-04-03 22:46:20,31.7917,-7.0926,791,48,57,686,Morocco
,,,Mozambique,2020-04-03 22:46:20,-18.665695,35.529562,10,0,0,10,Mozambique
,,,Namibia,2020-04-03 22:46:20,-22.9576,18.4904,14,0,3,11,Namibia
,,,Nepal,2020-04-03 22:46:20,28.1667,84.25,6,0,1,5,Nepal
,,,Netherlands,2020-04-03 22:46:20,52.1326,5.2913,15723,1487,250,13986,Netherlands
,,,New Zealand,2020-04-03 22:46:20,-40.9006,174.886,868,1,103,764,New Zealand
,,,Nicaragua,2020-04-03 22:46:20,12.865416,-85.207229,5,1,0,4,Nicaragua
,,,Niger,2020-04-03 22:46:20,17.607789,8.081666,120,5,0,115,Niger
,,,Nigeria,2020-04-03 22:46:20,9.082,8.6753,210,4,25,181,Nigeria
,,,North Macedonia,2020-04-03 22:46:20,41.6086,21.7453,430,12,20,398,North Macedonia
,,,Norway,2020-04-03 22:46:20,60.472,8.4689,5370,59,32,5279,Norway
,,,Oman,2020-04-03 22:46:20,21.512583,55.923255,252,1,57,194,Oman
,,,Pakistan,2020-04-03 22:46:20,30.3753,69.3451,2686,40,126,2520,Pakistan
